filename,date,year,month,day,issue_number,url,local_path,status,size_bytes,error
kev_20121212_6.pdf,2012-12-12,2012,12,12,6,https://koszeg.hu/pictures/koszeg/kev/kev_20121212_6.pdf,koszeg_es_videke_archive\pdf\2012\kev_20121212_6.pdf,downloaded,9844451,
kev_20130123_5.pdf,2013-01-23,2013,1,23,5,https://koszeg.hu/pictures/koszeg/kev/kev_20130123_5.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130123_5.pdf,downloaded,7789602,
kev_20130214_4.pdf,2013-02-14,2013,2,14,4,https://koszeg.hu/pictures/koszeg/kev/kev_20130214_4.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130214_4.pdf,downloaded,9081435,
kev_20130313_3.pdf,2013-03-13,2013,3,13,3,https://koszeg.hu/pictures/koszeg/kev/kev_20130313_3.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130313_3.pdf,downloaded,8666234,
kev_20130410_2.pdf,2013-04-10,2013,4,10,2,https://koszeg.hu/pictures/koszeg/kev/kev_20130410_2.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130410_2.pdf,downloaded,8817943,
kev_20130511_1.pdf,2013-05-11,2013,5,11,1,https://koszeg.hu/pictures/koszeg/kev/kev_20130511_1.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130511_1.pdf,downloaded,7669014,
kev_20130613_7.pdf,2013-06-13,2013,6,13,7,https://koszeg.hu/pictures/koszeg/kev/kev_20130613_7.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130613_7.pdf,downloaded,10768151,
kev_20130711_8.pdf,2013-07-11,2013,7,11,8,https://koszeg.hu/pictures/koszeg/kev/kev_20130711_8.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130711_8.pdf,downloaded,8538992,
kev_20130814_9.pdf,2013-08-14,2013,8,14,9,https://koszeg.hu/pictures/koszeg/kev/kev_20130814_9.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130814_9.pdf,downloaded,8627865,
kev_20130912_10.pdf,2013-09-12,2013,9,12,10,https://koszeg.hu/pictures/koszeg/kev/kev_20130912_10.pdf,koszeg_es_videke_archive\pdf\2013\kev_20130912_10.pdf,downloaded,12891032,
kev_20131016_11.pdf,2013-10-16,2013,10,16,11,https://koszeg.hu/pictures/koszeg/kev/kev_20131016_11.pdf,koszeg_es_videke_archive\pdf\2013\kev_20131016_11.pdf,downloaded,8531156,
kev_20131113_12.pdf,2013-11-13,2013,11,13,12,https://koszeg.hu/pictures/koszeg/kev/kev_20131113_12.pdf,koszeg_es_videke_archive\pdf\2013\kev_20131113_12.pdf,downloaded,9961058,
kev_20131211_13.pdf,2013-12-11,2013,12,11,13,https://koszeg.hu/pictures/koszeg/kev/kev_20131211_13.pdf,koszeg_es_videke_archive\pdf\2013\kev_20131211_13.pdf,downloaded,8259817,
kev_20140121_14.pdf,2014-01-21,2014,1,21,14,https://koszeg.hu/pictures/koszeg/kev/kev_20140121_14.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140121_14.pdf,downloaded,7169809,
kev_20140218_15.pdf,2014-02-18,2014,2,18,15,https://koszeg.hu/pictures/koszeg/kev/kev_20140218_15.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140218_15.pdf,downloaded,9618650,
kev_20140318_16.pdf,2014-03-18,2014,3,18,16,https://koszeg.hu/pictures/koszeg/kev/kev_20140318_16.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140318_16.pdf,downloaded,10809101,
kev_20140415_17.pdf,2014-04-15,2014,4,15,17,https://koszeg.hu/pictures/koszeg/kev/kev_20140415_17.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140415_17.pdf,downloaded,10521883,
kev_20140513_18.pdf,2014-05-13,2014,5,13,18,https://koszeg.hu/pictures/koszeg/kev/kev_20140513_18.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140513_18.pdf,downloaded,8842410,
kev_20140617_19.pdf,2014-06-17,2014,6,17,19,https://koszeg.hu/pictures/koszeg/kev/kev_20140617_19.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140617_19.pdf,downloaded,10240096,
kev_20140715_20.pdf,2014-07-15,2014,7,15,20,https://koszeg.hu/pictures/koszeg/kev/kev_20140715_20.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140715_20.pdf,downloaded,10550898,
kev_20140812_21.pdf,2014-08-12,2014,8,12,21,https://koszeg.hu/pictures/koszeg/kev/kev_20140812_21.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140812_21.pdf,downloaded,8040775,
kev_20140918_22.pdf,2014-09-18,2014,9,18,22,https://koszeg.hu/pictures/koszeg/kev/kev_20140918_22.pdf,koszeg_es_videke_archive\pdf\2014\kev_20140918_22.pdf,downloaded,10405474,
